PCAS,logKdoc,Category,CrippenLogP,SlogP_VSA1,ErGFP285_RDKit,FCFPs2048_1787_RDKit,RDKFP97_RDKit,RDKFP1999_RDKit,ExtFP215,SECFP1727_RDKit,ExtFP979,RDKFP870_RDKit,SECFP1805_RDKit,PharmFP16632_RDKit,SECFP617_RDKit,MATS2m,PatternFP730_RDKit,PatternFP654_RDKit,FuncFP3064_RDKit,SECFP1315_RDKit,RDKFP1925_RDKit,FuncFP2428_RDKit,GraphFP554,RDKFP834_RDKit,Mor29m_R,PatternFP1783_RDKit,RDKFP629_RDKit,ECFPs1024_998_RDKit,RDKFP2034_RDKit
p000053,4.732,3,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,5.26,3,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,5.061,3,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,5.255,3,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,5.09,4,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,3.21,4,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000054,6.47,2,5.7372,0,2.3,0,0,0,0,0,0,0,0,0,0,-0.04,1,1,0,0,1,0,1,0,0.137,1,0,1,0
p000055,4.91,2,3.03199,0,0,0,0,0,0,0,0,0,0,0,0,-0.074074074,1,0,0,0,0,0,1,0,0.185,0,0,0,0
p000056,7.24,3,6.2994,0,2.3,0,0,0,0,0,0,0,0,0,0,-0.05785124,1,1,0,0,0,0,1,0,0.351,1,0,0,0
p000056,5.88,4,6.2994,0,2.3,0,0,0,0,0,0,0,0,0,0,-0.05785124,1,1,0,0,0,0,1,0,0.351,1,0,0,0
p000057,5.23,1,5.1462,0,1,0,0,0,0,0,0,0,0,0,0,-0.074074074,0,1,0,0,0,0,1,0,0.139,1,0,0,0
p000057,5.01,1,5.1462,0,1,0,0,0,0,0,0,0,0,0,0,-0.074074074,0,1,0,0,0,0,1,0,0.139,1,0,0,0
p000057,4.31,1,5.1462,0,1,0,0,0,0,0,0,0,0,0,0,-0.074074074,0,1,0,0,0,0,1,0,0.139,1,0,0,0
p000057,4.27,1,5.1462,0,1,0,0,0,0,0,0,0,0,0,0,-0.074074074,0,1,0,0,0,0,1,0,0.139,1,0,0,0
p000057,5.75,2,5.1462,0,1,0,0,0,0,0,0,0,0,0,0,-0.074074074,0,1,0,0,0,0,1,0,0.139,1,0,0,0
p000057,5.06,3,5.1462,0,1,0,0,0,0,0,0,0,0,0,0,-0.074074074,0,1,0,0,0,0,1,0,0.139,1,0,0,0
p000057,5.91,3,5.1462,0,1,0,0,0,0,0,0,0,0,0,0,-0.074074074,0,1,0,0,0,0,1,0,0.139,1,0,0,0
p000058,2.32,3,1.90189,0,0,0,0,0,0,0,0,0,0,0,0,-0.056562701,0,0,0,0,0,0,0,0,0.144,0,0,0,0
p000059,5.55,2,4.06799,0,1,0,0,1,0,0,0,0,0,0,0,-0.047727038,1,1,0,0,1,0,1,1,-0.025,1,0,0,0
p000060,3.84,2,2.91479,0,0,0,0,1,0,0,0,0,0,0,0,-0.06203237,0,0,0,0,0,0,1,1,0.002,0,0,0,0
p000061,4.87,3,5.64409,5.733667477,0,0,1,1,0,0,0,0,0,0,0,-0.062184143,0,0,0,0,1,0,0,1,-0.035,0,0,0,0
p000062,2.29,3,1.90156,0,0,0,0,0,0,0,0,0,0,0,0,0.279560646,0,0,0,0,0,0,0,0,0.158,0,0,0,0
p000063,4.02,3,3.0786,0,0,0,0,0,0,0,0,0,0,0,0,0.158564815,0,0,0,0,0,0,0,0,-0.091,0,0,1,0
p000064,3.17,1,5.63723,13.57124149,0.9,0,0,0,0,0,0,0,0,1,0,0.213747608,0,1,0,0,0,0,0,0,0.589,1,0,0,0
p000064,4.54,2,5.63723,13.57124149,0.9,0,0,0,0,0,0,0,0,1,0,0.213747608,0,1,0,0,0,0,0,0,0.589,1,0,0,0
p000064,5.31,3,5.63723,13.57124149,0.9,0,0,0,0,0,0,0,0,1,0,0.213747608,0,1,0,0,0,0,0,0,0.589,1,0,0,0
p000064,5.01,3,5.63723,13.57124149,0.9,0,0,0,0,0,0,0,0,1,0,0.213747608,0,1,0,0,0,0,0,0,0.589,1,0,0,0
